Machine Error Code;Error Text;MES error Code
DG001;Degate move to HOME position failed;1
DG002;Degate move to CLAMP position failed;2
DG003;Degate move to PUNCH position failed;3
DG004;Degate Separator move to CLOSE position failed;4
DG005;Degate Separator move to OPEN position failed;5
DG006;Degate Sweeper move to  BACKWARD position failed;6
DG007;Degate Sweeper move to FORWARD position failed;7
DG008;Degates Vacuum move to OFF position failed;8
DG009;Degate Vacuum move to ON position failed;9
DG010;Degate Air Valve move to OFF position failed;10
DG011;Degate Air Valve move to ON position failed;11
DG012;Degate COMMUTATE failed;12
DG013;Detected Offloader not at Safe Position!;13
DG014;Degate not at Safe Position (Sensor);14
DG015;Degate IC Fill Detection move to OFF position failed;15
DG016;Degate detected Incomplete Fill!;16
DG017;Degate Brake move to ON position failed;17
DG018;Degate Brake move to OFF position failed;18
DG019;Offloader Y has NOT HOME;19
DG020;Output Pick Arm has NOT HOME;20
DG021;Degate move to UP position failed;21
DG022;Degate detected LF Misalignment (Pin Sensor);22
DG023;Degate Position Unknown;23
DG024;Degate Bin Full;24
DG025;Degate Spearator at Open Position;25
DG026;IM Air Purge To Turn OFF Fail!;26
DG027;IM Air Purge To Turn ON Fail!;27
DG028;Degate detected LF Warpage (Thru Beam Sensor);28
DG029;Clear Degate Motor Error Fail;29
DG030;Degate Cull Bin Not Present;30
DG031;Degate move to Safe Up position failed;31
DG032;Detected Unknown LF Status at Degate;32
DG033;Detected Partial LF Present in Degate;33
DG034;Detected LF Missing at Degate;34
DG035;Detected LF Still Present at Degate after Picked;35
DG036;Degater Move to Clean position failed;36
DG037;Flipper Degate not back to Offloader Pos;37
DG038;Please Remove LFs on Bottom Degate!;38
DG039;Detected Output Pickarm not at Safe Pos!;39
DG040;Detected Degate Channel Control Error!;40
DG041;Detected Degate Channel Search Timeout Error!;41
DG042;Detected Degate Channel Hit Limit Sensor Error!;42
DG043;Detected Degate Channel Encoder Fault Error!;43
DG044;Detected Degate Channel Driver Fault Error!;44
DG045;Detected Degate Channel Exceed SW Pos Limit Error!;45
DG046;Detected Degate Channel Open Wire Fault Error!;46
DG047;Detected Degate Channel Velocity Jump Error!;47
DG048;Detected Degate Channel RTC Overload Error!;48
DG051;Degate detected LF missing after degate;51
DG052;Degate detected warpage after degate;52
DG053;Degate detected ionizer error;53
DG054;Degate Pin move to UP position failed;54
DG055;Degate Pin move to DOWN position failed;55
DG056;Degate move to LOAD position failed;56
ICS001;Input Carrier Shuttle X move to HOME position failed;201
ICS002;Input Carrier Shuttle X move to STANDBY position failed;202
ICS003;Input Carrier Shuttle X move to PICKLF position failed;203
ICS004;Input Carrier Shuttle X move to PICKLF2 position failed;204
ICS005;Input Carrier Shuttle X move to PLACELF position failed;205
ICS006;Input Carrier Shuttle X move to PLACELF2 position failed;206
ICS007;Input Carrier Shuttle Y move to HOME position failed;207
ICS008;Input Carrier Shuttle Y move to STANDBY position failed;208
ICS009;Input Carrier Shuttle Y move to PICKLF position failed;209
ICS010;Input Carrier Shuttle Y move to PICKLF2 position failed;210
ICS011;Input Carrier Shuttle Y move to PLACELF position failed;211
ICS012;Input Carrier Shuttle Y move to PLACELF2 position failed;212
ICS013;Input Carrier Shuttle Z move to UP position failed;213
ICS014;Input Carrier Shuttle Z move to DOWN position failed;214
ICS015;Input Carrier Shuttle Gripper move to CLOSE position failed;215
ICS016;Input Carrier Shuttle Gripper move to OPEN position failed;216
ICS017;Input Carrier Shuttle detected Unknown LF Present.;217
ICS018;Input Carrier Shuttle detected LF Missing.;218
ICS019;Input Carrier Shuttle detected Abnormal LF Condition.;219
ICS020;Input Carrier Shuttle X clear limit failed.;220
ICS021;Input Carrier Shuttle X commutate failed.;221
ICS022;Input Carrier Shuttle Y clear limit failed.;222
ICS023;Input Carrier Shuttle Y commutate failed.;223
ICS024;Input Carrier Shuttle detected LF Present Partially.;224
ICS025;Input Carrier Shuttle detected LF Not Present.;225
ICS026;Input Carrier Shuttle detected Invalid LF Status.;226
ICS027;Input Carrier Shuttle Z not at UP position.;227
ICS028;Input Carrier Shuttle detected ITA not safe.;228
ICS029;Input Carrier Shuttle detected Onloader not safe.;229
ICS030;Input Carrier Shuttle detected IR Heater not safe.;230
ICS031;Input Carrier Shuttle detected X not at PICKLF position.;231
ICS032;Input Carrier Shuttle detected X not at PICKLF2 position.;232
ICS033;Input Carrier Shuttle detected X not at PLACELF position.;233
ICS034;Input Carrier Shuttle detected X not at PLACELF2 position.;234
ICS035;Input Carrier Shuttle detected X not Safe.;235
ICS036;Input Carrier Shuttle detected X move to PreWarm 1 pos not safe.;236
ICS037;Input Carrier Shuttle detected X move to PreWarm 2 pos not safe.;237
ICS038;Input Carrier Shuttle detected Y not safe.;238
ICS039;Input Carrier Shuttle detected Y move to PreHeat 1 pos not safe.;239
ICS040;Input Carrier Shuttle detected Y move to PreHeat 2 pos not safe.;240
ICS041;Input Carrier Shuttle detected ITA Y not at Home position;241
ICS043;Input Carrier Shuttle detected abnormal tray status (wrong tray / units remain);243
ICS045;Input Carrier Shuttle X move to REJECT position failed;245
ICS046;Input Carrier Shuttle Y move to REJECT position failed;246
ICS047;Input Carrier Shuttle X not at REJECT position;247
ICS048;Input Carrier Shuttle Y not at REJECT position;248
ICS049;Input Carrier Shuttle failed to connect vision;249
ICS050;Input Carrier Shuttle failed to read vision result;250
ICS060;Input Carrier Shuttle detected X Channel control error;260
ICS061;Input Carrier Shuttle detected X Channel search timeout error;261
ICS062;Input Carrier Shuttle detected X Channel hit limit sensor error;262
ICS063;Input Carrier Shuttle detected X Channel encoder fault error;263
ICS064;Input Carrier Shuttle detected X Channel driver fault error;264
ICS065;Input Carrier Shuttle detected X Channel exceed software position limit error;265
ICS066;Input Carrier Shuttle detected X Channel open wire fault error;266
ICS067;Input Carrier Shuttle detected X Channel velocity jump error;267
ICS068;Input Carrier Shuttle detected X Channel RTC overload error;268
ICS070;Input Carrier Shuttle detected Y Channel control error;270
ICS071;Input Carrier Shuttle detected Y Channel search timeout error;271
ICS072;Input Carrier Shuttle detected Y Channel hit limit sensor error;272
ICS073;Input Carrier Shuttle detected Y Channel encoder fault error;273
ICS074;Input Carrier Shuttle detected Y Channel driver fault error;274
ICS075;Input Carrier Shuttle detected Y Channel exceed software position limit error;275
ICS076;Input Carrier Shuttle detected Y Channel open wire fault error;276
ICS077;Input Carrier Shuttle detected Y Channel velocity jump error;277
ICS078;Input Carrier Shuttle detected Y Channel RTC overload error;278
IHP1001;Input Pre-Heater 1 Vacuum move to OFF position failed;401
IHP1002;Input Pre-Heater 1 Vacuum move to ON position failed;402
IHP1003;Input Pre-Heater 1 Vacuum Power move to OFF position failed;403
IHP1004;Input Pre-Heater 1 Vacuum Power move to ON position failed;404
IHP1005;Input Pre-Heater 1 Temperature OUT of Tolerance;405
IHP1006;Input Pre-Heater 1 Temperature Controller Error;406
IHP1007;Input Pre-Heater 1 Dust cover move to BWD position failed;407
IHP1008;Input Pre-Heater 1 Dust cover move to FWD position failed;408
IHP1009;Input Pre-Heater 1 detected Unknown Lead frame Present;409
IHP1010;Input Pre-Heater 1 detected Lead Frame missing;410
IHP1011;Input Pre-Heater 1 detected Lead frame Abnormal Condition.;411
IHP1012;Input Pre-Heater 1 detected Gripper Close failed.;412
IHP1013;Input Pre-Heater 1 detected Gripper Open failed.;413
IHP1014;Input Pre-Heater 1 detected Mis-alignment;414
IHP1015;Input Pre-Heater 1 detected LF Overheated;415
IHP1016;Input Pre-Heater 1 IR Heater Z move to HOME position failed ;416
IHP1017;Input Pre-Heater 1 IR Heater Z move to UP position failed ;417
IHP1018;Input Pre-Heater 1 IR Heater Z move to DOWN position failed ;418
IHP1019;Input Pre-Heater 1 Brake move to OFF position failed;419
IHP1020;Input Pre-Heater 1 Brake move to ON position failed;420
IHP1021;Input Pre-Heater 1 detected Side PRP Lock failed.;421
IHP1022;Input Pre-Heater 1 detected Side PRP Unlock failed.;422
IHP1023;Input Pre-Heater 1 detected Middle PRP Lock failed.;423
IHP1024;Input Pre-Heater 1 detected Middle PRP Unlock failed.;424
IHP1025;Input Pre-Heater 1 detected TC PRP Lock failed.;425
IHP1026;Input Pre-Heater 1 detected TC PRP Unload failed.;426
IHP1027;Input Pre-Heater 1 detected IR Heater Z Clear Limit failed;427
IHP1028;Input Pre-Heater 1 detected Carrier Shuttle not safe.;428
IHP1029;Input Pre-Heater 1 detected Onloader not safe.;429
IHP1030;Input Pre-Heater 1 detected Heater Z not at down position.;430
IHP1031;Input Pre-Heater 1 detected IR Heater on/off error.;431
IHP1032;Input Pre-Heater 1 detected Thermoswitch trigger.;432
IHP1033;Input Pre-Heater 1 detected Heater not ON.;433
IHP1034;Input Pre-Heater 1 detected IR Heater temperature out of tolerance.;434
IHP1035;Input Pre-Heater 1 detected IR Heater temperature overtime.;435
IHP1036;Input Pre-Heater 1 detected PRP temperature out of tolerance.;436
IHP1037;Input Pre-Heater 1 detected IR Heater move to Down pos not safe.;437
IHP1038;Input Pre-Heater 1 detected Heater Z move to PRP position failed.;438
IHP1039;Input Pre-Heater 1 detected abnormal IR heater temperature;439
IHP1050;Input Pre-Heater 1 detected Heater Z Channel control error;450
IHP1051;Input Pre-Heater 1 detected Y Channel search timeout error;451
IHP1052;Input Pre-Heater 1 detected Y Channel hit limit sensor error;452
IHP1053;Input Pre-Heater 1 detected Y Channel encoder fault error;453
IHP1054;Input Pre-Heater 1 detected Y Channel driver fault error;454
IHP1055;Input Pre-Heater 1 detected Y Channel exceed software position limit error;455
IHP1056;Input Pre-Heater 1 detected Y Channel open wire fault error;456
IHP1057;Input Pre-Heater 1 detected Y Channel velocity jump error;457
IHP1058;Input Pre-Heater 1 detected Y Channel RTC overload error;458
IHP2001;Input Pre-Heater 2 Vacuum move to OFF position failed;601
IHP2002;Input Pre-Heater 2 Vacuum move to ON position failed;602
IHP2003;Input Pre-Heater 2 Vacuum Power move to OFF position failed;603
IHP2004;Input Pre-Heater 2 Vacuum Power move to ON position failed;604
IHP2005;Input Pre-Heater 2 Temperature OUT of Tolerance;605
IHP2006;Input Pre-Heater 2 Temperature Controller Error;606
IHP2007;Input Pre-Heater 2 Dust cover move to BWD position failed;607
IHP2008;Input Pre-Heater 2 Dust cover move to FWD position failed;608
IHP2009;Input Pre-Heater 2 detected Unknown Lead frame Present;609
IHP2010;Input Pre-Heater 2 detected Lead Frame missing;610
IHP2011;Input Pre-Heater 2 detected Lead frame Abnormal Condition.;611
IHP2012;Input Pre-Heater 2 detected Gripper Close failed.;612
IHP2013;Input Pre-Heater 2 detected Gripper Open failed.;613
IHP2014;Input Pre-Heater 2 detected Mis-alignment;614
IHP2015;Input Pre-Heater 2 detected LF Overheated;615
IHP2016;Input Pre-Heater 2 IR Heater Z move to HOME position failed ;616
IHP2017;Input Pre-Heater 2 IR Heater Z move to UP position failed ;617
IHP2018;Input Pre-Heater 2 IR Heater Z move to DOWN position failed ;618
IHP2019;Input Pre-Heater 2 Brake move to OFF position failed;619
IHP2020;Input Pre-Heater 2 Brake move to ON position failed;620
IHP2021;Input Pre-Heater 2 detected Side PRP Lock failed.;621
IHP2022;Input Pre-Heater 2 detected Side PRP Unlock failed.;622
IHP2023;Input Pre-Heater 2 detected Middle PRP Lock failed.;623
IHP2024;Input Pre-Heater 2 detected Middle PRP Unlock failed.;624
IHP2025;Input Pre-Heater 2 detected TC PRP Lock failed.;625
